Date,Open,High,Low,Close,Adj Close,Volume,Day
2017-04-17,233.110001,234.570007,232.880005,234.570007,209.849274,68405400,894
2017-04-18,233.720001,234.490005,233.080002,233.869995,209.223022,83225800,895
2017-04-19,234.520004,234.949997,233.179993,233.440002,208.838364,68699900,896
2017-04-20,234.149994,235.850006,233.779999,235.339996,210.538101,92572200,897
2017-04-21,235.25,235.309998,234.130005,234.589996,209.867142,110389800,898
2017-04-24,237.179993,237.410004,234.559998,237.169998,212.175278,119209900,899
2017-04-25,237.910004,238.949997,237.809998,238.550003,213.409821,76698300,900
2017-04-26,238.509995,239.529999,238.350006,238.399994,213.27565,84702500,901
2017-04-27,238.770004,238.949997,237.979996,238.600006,213.454575,57410300,902
2017-04-28,238.899994,238.929993,237.929993,238.080002,212.989349,63532800,903
2017-05-01,238.679993,239.169998,238.199997,238.679993,213.526108,66882500,904
2017-05-02,238.839996,238.979996,238.300003,238.770004,213.606613,57375700,905
2017-05-03,238.770004,238.880005,237.699997,238.479996,213.347153,73137700,906
2017-05-04,238.830002,238.919998,237.779999,238.759995,213.597702,61462700,907
2017-05-05,239.190002,239.720001,238.679993,239.699997,214.438629,62001300,908
2017-05-08,239.75,239.919998,239.169998,239.660004,214.402817,48385700,909
2017-05-09,239.960007,240.190002,239.039993,239.440002,214.205994,51363200,910
2017-05-10,239.389999,239.869995,239.149994,239.869995,214.590698,54293800,911
2017-05-11,239.350006,239.570007,238.130005,239.380005,214.152359,62358300,912
2017-05-12,239.089996,239.429993,238.669998,238.979996,213.794449,53912700,913
2017-05-15,239.470001,240.440002,239.449997,240.300003,214.975403,61918900,914
2017-05-16,240.639999,240.669998,239.630005,240.080002,214.778564,51241800,915
2017-05-17,240.080002,240.080002,235.75,235.820007,210.967499,172174100,916
2017-05-18,235.729996,237.75,235.429993,236.770004,211.817398,107047700,917
2017-05-19,237.330002,239.080002,237.270004,238.309998,213.195068,115011400,918
2017-05-22,238.899994,239.710007,238.820007,239.520004,214.277542,61010600,919
2017-05-23,239.949997,240.240005,239.509995,240.050003,214.75174,48341700,920
2017-05-24,240.320007,240.729996,239.929993,240.610001,215.252716,46927700,921
2017-05-25,241.199997,242.080002,240.960007,241.759995,216.281494,64071700,922
2017-05-26,241.539993,241.899994,241.449997,241.710007,216.236771,46629900,923
2017-05-30,241.339996,241.789993,241.160004,241.5,216.04895,35201900,924
2017-05-31,241.839996,241.880005,240.639999,241.440002,215.995224,91796000,925
2017-06-01,241.970001,243.380005,241.639999,243.360001,217.712921,68962000,926
2017-06-02,243.419998,244.350006,243.080002,244.169998,218.437531,88666100,927
2017-06-05,243.970001,244.300003,243.759995,243.990005,218.27652,44698800,928
2017-06-06,243.339996,243.979996,243.119995,243.210007,217.57869,50375400,929
2017-06-07,243.600006,243.919998,242.830002,243.660004,217.981308,54144300,930
2017-06-08,243.770004,244.330002,243.169998,243.779999,218.088608,65950700,931
2017-06-09,244.089996,245.009995,241.949997,243.410004,217.757645,132256400,932
2017-06-12,243.130005,243.419998,242.380005,243.360001,217.712921,86108100,933
2017-06-13,243.979996,244.610001,243.580002,244.550003,218.777481,60067000,934
2017-06-14,244.860001,244.869995,243.289993,244.240005,218.500153,78602300,935
2017-06-15,242.679993,243.910004,242.360001,243.770004,218.079697,66464900,936
